"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER%20SCIENCE%2C%20SOFTWARE%20ENGINEERING' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
83,Computer Science and Information Systems,265,0.623,0.000810,
84,Journal of Web Engineering,83,0.622,0.000160,
85,VIRTUAL REALITY,226,0.568,0.000580,
86,ACM Transactions on Applied Perception,322,0.561,0.000900,
87,COMPUTER LANGUAGES SYSTEMS & STRUCTURES,60,0.556,0.000160,
88,COMPUTER ANIMATION AND VIRTUAL WORLDS,325,0.548,0.001000,
89,JOURNAL OF UNIVERSAL COMPUTER SCIENCE,860,0.546,0.001750,
90,DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,285,0.537,0.001970,
91,FORMAL ASPECTS OF COMPUTING,393,0.521,0.000800,
92,ACM SIGPLAN NOTICES,"3,657",0.488,0.011070,
93,JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,604,0.475,0.001560,
94,IET Software,145,0.473,0.000570,
95,Scientific Programming,184,0.455,0.000550,
96,International Journal of Wavelets Multiresolution and Information Processing,282,0.392,0.000720,
96,Journal of Zhejiang University-SCIENCE C-Computers & Electronics,221,0.392,0.000910,
98,PROGRAMMING AND COMPUTER SOFTWARE,126,0.390,0.000340,
99,International Journal of Web Services Research,93,0.257,0.000240,
100,Advances in Computers,244,0.256,0.000450,
101,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,216,0.240,0.000470,
102,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,952,0.226,0.002260,
103,ICGA JOURNAL,65,0.206,0.000300,
104,JOURNAL OF DATABASE MANAGEMENT,131,0.120,0.000180,
105,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,77,0.095,0.000270,
106,Frontiers of Information Technology & Electronic Engineering,1,Not Available,0.000000,
Copyright © 2016 Thomson Reuters,,,,, 1 
