"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER%20SCIENCE%2C%20INTERDISCIPLINARY%20APPLICATIONS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
78,SPEECH COMMUNICATION,"2,242",1.038,0.003390,
79,CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,362,1.020,0.000350,
80,COMPUTATIONAL BIOLOGY AND CHEMISTRY,853,1.014,0.001680,
81,Language Resources and Evaluation,269,0.975,0.000690,
82,JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,216,0.944,0.000310,
83,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,631,0.935,0.000820,
84,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,450,0.877,0.000440,
85,QUEUEING SYSTEMS,"1,036",0.875,0.002520,
86,CIN-COMPUTERS INFORMATICS NURSING,601,0.868,0.001430,
87,Computers and Concrete,399,0.849,0.001140,
88,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,500,0.790,0.000870,
89,JOURNAL OF NEW MUSIC RESEARCH,370,0.771,0.000420,
90,JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,"1,398",0.749,0.005260,
91,JOURNAL OF VISUALIZATION,342,0.720,0.000840,
92,ENGINEERING COMPUTATIONS,"1,135",0.691,0.001430,
93,SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,892,0.640,0.001100,
94,MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,280,0.625,0.001220,
95,Statistical Analysis and Data Mining,243,0.574,0.001910,
96,VIRTUAL REALITY,226,0.568,0.000580,
97,ACM Transactions on Modeling and Computer Simulation,539,0.556,0.001130,
98,INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,391,0.524,0.001090,
99,International Journal on Artificial Intelligence Tools,312,0.504,0.000600,
100,COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,592,0.430,0.001280,
101,International Journal of Computational Intelligence Systems,392,0.391,0.001120,
102,APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,347,0.370,0.000930,
102,Computational and Mathematical Organization Theory,335,0.370,0.000400,
104,COMPUTER MUSIC JOURNAL,287,0.279,0.000100,
Copyright © 2016 Thomson Reuters,,,,, 1 
